,Id1,Id2,Type of Content
188,cinbengalsJB9,BrittanyLynne,RT
189,cinbengalsJB9,GetYoShinebox,RT
191,cinbengalsJB9,CINClothingCo,RT
192,cinbengalsJB9,punkrockdub,RT
193,cinbengalsJB9,VARGASSZNN,RT
194,cinbengalsJB9,Thomas_Buckeye5,RT
195,cinbengalsJB9,DatFrostyOne,RT
196,cinbengalsJB9,Cromezn,RT
197,DonBrow77958233,NFL,Mention
197,DonBrow77958233,TomBrady,Mention
198,cinbengalsJB9,curtisxu,RT
199,cinbengalsJB9,Pi_sulaiman,RT
200,jayspartan20,MasterAtWorkinc,RT
202,Layne__w,FormerNFLFan789,RT
203,texaskid4life,MasterAtWorkinc,RT
206,floydianship,MasterAtWorkinc,RT
207,BornCincyFan,nflcommish,Mention
207,BornCincyFan,NFL,Mention
208,MasterAtWorkinc,MasterAtWorkinc,RT
209,PropMclaughlin_,Mikechanginvest,RT
210,THE_GRAYF0X,JoeGoodberry,Mention
210,THE_GRAYF0X,nfl,Mention
211,NoDiiscussiion,CoachOBrien,Mention
211,NoDiiscussiion,WokeThuney,Mention
211,NoDiiscussiion,NFL_DovKleiman,Mention
211,NoDiiscussiion,Real10jayy__,Mention
212,Pqranold,edits841,RT
214,WTFinSoCal,heyjacqui_,Mention
215,FormerNFLFan789,THE_GRAYF0X,RT
215,FormerNFLFan789,nfl,RT
215,FormerNFLFan789,NFLOfficiating,RT
215,FormerNFLFan789,nflcommish,RT
217,THE_GRAYF0X,nfl,Mention
217,THE_GRAYF0X,NFLOfficiating,Mention
217,THE_GRAYF0X,nflcommish,Mention
218,jackihillis22,DonCoop20,Mention
218,jackihillis22,PFTCommenter,Mention
218,jackihillis22,ArianFoster,Mention
220,KecksterFal,_willcompton,Mention
221,SkylerBertram1,VivaLaStool,RT
221,SkylerBertram1,ArianFoster,RT
221,SkylerBertram1,MacrodosingPod,RT
222,RicoMuscatel,NFLonFOX,Mention
222,RicoMuscatel,Chiefs,Mention
222,RicoMuscatel,Eagles,Mention
223,EspressoJose,tipico,Mention
224,thetadrivium,Throwback420,RT
225,thetadrivium,GetYoShinebox,RT
227,plingon11,Readitandweep2,Mention
229,Jan11555,taufikl,Mention
230,SpadedLord,midwest_fancy,RT
232,Dwheel_14,NFL,Mention
232,Dwheel_14,NFLonFOX,Mention
232,Dwheel_14,NFLFilms,Mention
232,Dwheel_14,Chiefs,Mention
232,Dwheel_14,Bengals,Mention
233,ubok1978,Kramed67037,Mention
233,ubok1978,GottliebShow,Mention
234,Viyapoo,WWERuthlessEra,RT
235,punkrockdub,GeneSteratore,Mention
236,Lvnd00,NFL,Mention
236,Lvnd00,nflnetwork,Mention
236,Lvnd00,ESPNNFL,Mention
239,ubok1978,Aftermath_KC,Mention
240,BREAK_BoyAplus,FormerNFLFan789,RT
242,SpikeTheNews2,FormerNFLFan789,RT
243,Lisa20271524,Sir_Saint1,RT
244,ayoo_noah,FormerNFLFan789,RT
245,ayoo_noah,edits841,RT
246,FormerNFLFan789,edits841,RT
247,BenLineback,FormerNFLFan789,RT
249,edits841,FormerNFLFan789,RT
250,phee2_mc,FormerNFLFan789,RT
251,InkyBri,NFL,Mention
252,DigitalPtGuard,FormerNFLFan789,RT
254,SiefkenRobert,AdamSchefter,Mention
255,grandadteddy,AdamSchefter,Mention
257,LordShaq2,FormerNFLFan789,RT
258,Shadology101,FormerNFLFan789,RT
259,DanielMusto10,FormerNFLFan789,RT
261,cammarshallfilm,TH3_GOD_,Mention
261,cammarshallfilm,YoungAngel_,Mention
261,cammarshallfilm,FirstTake,Mention
261,cammarshallfilm,MikeFrancesa,Mention
262,FormerNFLFan789,MAGAMAN858,RT
262,FormerNFLFan789,NFL,RT
263,FormerNFLFan789,BornCincyFan,RT
263,FormerNFLFan789,nflcommish,RT
263,FormerNFLFan789,NFL,RT
266,FootballFan734,nflcommish,Mention
267,wtondo,TheHouse_Ent,RT
268,_TheZyro,barstoolsports,RT
271,MAGAMAN858,NFL,Mention
272,Piersky65,realAlexRWagner,RT
273,_VictorChaos,Billyhottakes,Mention
273,_VictorChaos,PFN365,Mention
274,THE_GRAYF0X,WilliamScottDe3,Mention
274,THE_GRAYF0X,GottliebShow,Mention
275,THE_GRAYF0X,NFL,Mention
276,SiefkenRobert,Chiefs,Mention
278,rusteezeworld,WorimiFella,RT
278,rusteezeworld,Bengals,RT
279,Gruelingtruth,thebengalorian,Mention
279,Gruelingtruth,TheBengalsWire,Mention
279,Gruelingtruth,WhoDey_UK,Mention
279,Gruelingtruth,BengalsNation8,Mention
279,Gruelingtruth,moose196850,Mention
279,Gruelingtruth,WhoooDeyy,Mention
279,Gruelingtruth,BengalsTalk,Mention
280,WilliamScottDe3,GottliebShow,Mention
282,ChadJobe2,ShereeWLWT,Mention
283,9thwdleekilla,Throwback420,RT
